diagnostic_run_id,plant_ecwt_run_id,station_id,station_name,station_state,station_country,station_first_observation_utc,station_last_observation_utc,impacted_blocked_plant_count,min_candidate_rank_order,min_candidate_distance_km,sample_blocked_plants,fixed_expected_djf_hours,fixed_valid_djf_hours,fixed_missing_djf_hours,fixed_coverage_ratio,plant_weighted_missing_djf_hours,missing_station_year_count,complete_loaded_year_count,partial_loaded_year_count,empty_loaded_year_count,outside_station_metadata_window_year_count,terminal_aws_missing_year_count,retryable_download_failure_year_count,downloaded_no_canonical_djf_year_count,available_raw_not_loaded_year_count,raw_inventory_missing_year_count,no_download_or_manifest_evidence_year_count,top_gap_years
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-53151,FALLBROOK 5 NE,CA,US,2008-04-29 17:00:00-07,2025-08-27 17:00:00-07,499,22,60.797,Venice Hydro | AES Alamitos LLC | Sepulveda Canyon | Fontana | Long Beach Generation LLC | Ormond Beach | Mountainview Generating Station | Magnolia,56328,36737,19591,0.652198,9775909,16,6,2,0,8,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2007:outside_station_metadata_window:2160h; 2006:outside_station_metadata_window:2160h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-03758,DURHAM 11 W,NC,US,2007-03-28 17:00:00-07,2025-08-27 17:00:00-07,559,1,4.716,Butler-Warner Generation Plant | Blewett | Cape Fear | HF Lee Plant | Tillery | Buck | Roanoke Rapids | Harris,56328,38961,17367,0.691681,9708153,13,4,2,0,7,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2006:outside_station_metadata_window:2160h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2007:partial_loaded:1425h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-93243,MERCED 23 WSW,CA,US,2004-03-24 16:00:00-08,2025-08-27 17:00:00-07,645,1,14.672,McClure | Turlock Lake | Hickman | Angels | Chili Bar | El Dorado | Electra | Hunters Point,56328,42778,13550,0.759445,8739750,13,5,3,0,4,1,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2006:terminal_aws_missing:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2004:partial_loaded:1440h; 2025:partial_loaded:744h; 2009:partial_loaded:471h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-54932,SANDSTONE 6 W,MN,US,2007-06-21 17:00:00-07,2025-08-27 17:00:00-07,381,5,34.353,Blanchard | Little Falls (MN) | Pillager | Sylvan | Black Dog | Granite City | Hennepin Island | High Bridge,56328,37985,18343,0.674354,6988683,15,4,4,0,7,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2006:outside_station_metadata_window:2160h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2007:partial_loaded:1475h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-64756,MILLBROOK 3 W,NY,US,2004-10-31 16:00:00-08,2025-08-27 17:00:00-07,577,1,9.360,"Rocky River (CT) | Bulls Bridge | Cos Cob | New Milford Gas Recovery | Waterside Power, LLC | Norden 1-3 | Kimberly Clark-Unit 1,2,3 | Norwalk Hospital Plant",56328,45447,10881,0.806828,6278337,12,6,2,0,4,0,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2004:partial_loaded:1440h; 2025:partial_loaded:744h; 2024:complete_loaded:19h; 2007:complete_loaded:10h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-54811,SHABBONA 5 NNE,IL,US,2003-08-15 17:00:00-07,2025-08-27 17:00:00-07,663,1,7.445,Dubuque | Milton L Kapp | Sixth Street | Iowa Hydro LLC | Prairie Creek | Coralville GT | Riverside | Burlington (IA),56328,46892,9436,0.832481,6256068,12,6,3,0,3,0,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2003:partial_loaded:1416h; 2025:partial_loaded:744h; 2022:partial_loaded:744h; 2024:complete_loaded:20h; 2011:complete_loaded:2h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-53139,STOVEPIPE WELLS 1 SW,CA,US,2004-05-03 17:00:00-07,2025-08-27 17:00:00-07,449,1,58.625,Big Creek Solar LLC | Davis Dam | Griffith Energy LLC | South Point Energy Center | Black Mountain Generating Station | La Senita | Kingman 1 | Black Mountain Solar LLC,56328,45395,10933,0.805905,4908917,15,9,2,0,4,0,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2004:partial_loaded:1440h; 2025:partial_loaded:744h; 2010:complete_loaded:45h; 2024:complete_loaded:21h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-53968,PALESTINE 6 WNW,TX,US,2003-05-24 17:00:00-07,2025-08-27 17:00:00-07,355,1,10.363,Limestone | Lewisville | Lake Hubbard | Mountain Creek | North Lake | Parkdale | Lewis Creek | T H Wharton,56328,45210,11118,0.802620,3946890,23,17,2,0,3,1,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2006:terminal_aws_missing:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2003:partial_loaded:1416h; 2025:partial_loaded:744h; 2011:complete_loaded:86h; 2008:complete_loaded:85h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-03761,AVONDALE 2 N,PA,US,2006-06-01 17:00:00-07,2025-08-27 17:00:00-07,225,24,55.359,Cedar Station | Missouri Avenue | Oyster Creek | Sayreville | Gilbert | PSEG Burlington Generating Station | Forked River | Sayreville Cogeneration Facility,56328,39702,16626,0.704836,3740850,20,9,5,0,6,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2006:partial_loaded:1416h; 2025:partial_loaded:744h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,745944-93784,BALTIMORE DOWNTOWN,MD,US,1999-01-01 16:00:00-08,2025-08-26 17:00:00-07,632,1,1.041,"US GSA Heating and Transmission | Walt Bailey Bioenergy Facility | JBAB - Washington DC | Nationals | AOC, Capitol Power Plant | IGS CC, LLC | Ross Hall Central Utility Plant | DC Water Solar",56328,50611,5717,0.898505,3613144,20,15,4,0,0,1,0,0,0,0,0,2021:terminal_aws_missing:2160h; 2022:partial_loaded:1515h; 2025:partial_loaded:856h; 2020:partial_loaded:744h; 2019:partial_loaded:121h; 2023:complete_loaded:96h; 2018:complete_loaded:48h; 2001:complete_loaded:42h
