raw_canonical_audit_run_id,gap_audit_run_id,station_id,station_name,station_state,station_country,station_year_count,impacted_plant_count,gap_table_missing_hours,canonical_missing_expected_window_hours,window_missing_minus_gap_table_missing_hours,source_hour_absent_count,loader_rejected_source_hour_count,loader_invalid_tmp_hour_count,loader_rejected_plausibility_hour_count,accepted_raw_not_in_canonical_hour_count,raw_present_unclassified_hour_count,accepted_raw_not_in_canonical_year_count,expected_window_mismatch_year_count,top_missing_years,primary_root_cause
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-54903,NECEDAH 5 WNW,WI,US,8,18,2521,2521,0,2368,0,153,0,0,0,0,0,2004:1440h; 2025:743h; 2022:175h; 2006:113h; 2009:27h; 2024:19h; 2007:3h; 2005:1h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-94080,MEDORA 7 E,ND,US,5,4,2412,2412,0,2202,0,210,0,0,0,0,0,2004:1440h; 2025:743h; 2010:149h; 2024:78h; 2005:2h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-94085,PIERRE 24 S,SD,US,7,1,2310,2310,0,2198,0,112,0,0,0,0,0,2006:1416h; 2025:743h; 2009:55h; 2010:36h; 2022:26h; 2024:19h; 2008:15h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-63896,SCOTTSBORO 2 NE,AL,US,12,6,2287,2287,0,2185,0,102,0,0,0,0,0,2006:1416h; 2025:746h; 2012:40h; 2011:37h; 2024:20h; 2010:13h; 2013:4h; 2007:3h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-63895,RUSSELLVILLE 4 SSE,AL,US,10,7,2223,2223,0,2212,0,11,0,0,0,0,0,2006:1416h; 2025:743h; 2015:26h; 2024:20h; 2007:10h; 2008:3h; 2013:2h; 2009:1h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-63869,FAIRHOPE 3 NE,AL,US,12,1,2219,2219,0,2180,0,39,0,0,0,0,0,2006:1416h; 2025:747h; 2024:19h; 2011:7h; 2014:6h; 2019:5h; 2020:5h; 2010:4h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-03074,LAS CRUCES 20 N,NM,US,10,20,2214,2214,0,2192,0,22,0,0,0,0,0,2007:1410h; 2025:743h; 2021:22h; 2024:19h; 2010:4h; 2011:4h; 2012:4h; 2009:3h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-03758,DURHAM 11 W,NC,US,6,76,2198,2198,0,2186,0,12,0,0,0,0,0,2007:1425h; 2025:743h; 2024:20h; 2017:4h; 2009:3h; 2020:3h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-63891,CLANTON 2 NE,AL,US,8,6,2196,2196,0,2183,0,13,0,0,0,0,0,2007:1418h; 2025:744h; 2024:19h; 2010:6h; 2008:4h; 2017:3h; 2012:1h; 2015:1h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-03759,CHARLOTTESVILLE 2 SSE,VA,US,5,3,2189,2189,0,2177,0,12,0,0,0,0,0,2007:1416h; 2025:743h; 2024:18h; 2016:11h; 2013:1h,source_hour_absent
