eia_plant_code,plant_name,state,county,plant_latitude,plant_longitude,nerc_region,balancing_authority_code,sector_name,generator_statuses,generator_rows,nameplate_mw,no_candidate_reason
7708,APC1,AL,,,,SERC,SOCO,Electric Utility,CN,1,270,missing_plant_coordinates
7876,APC2,AL,,,,SERC,SOCO,Electric Utility,CN,1,300,missing_plant_coordinates
7877,APC3,AL,,,,SERC,SOCO,Electric Utility,CN,1,200,missing_plant_coordinates
7744,Unsited,FL,,,,SERC,,Electric Utility,CN,2,896,missing_plant_coordinates
7889,NA 1,FL,,,,SERC,,Electric Utility,CN,1,195,missing_plant_coordinates
7890,Unnamed,FL,,,,SERC,SEC,Electric Utility,CN,5,1159,missing_plant_coordinates
7893,Midway,FL,Taylor,,,SERC,,Electric Utility,CN,3,1287,missing_plant_coordinates
56354,Tampa Electric Co NA 4,FL,,,,SERC,,Electric Utility,CN,2,200,missing_plant_coordinates
7711,GPC3,GA,,,,SERC,,Electric Utility,CN,1,660,missing_plant_coordinates
7712,GPC4,GA,,,,SERC,,Electric Utility,CN,1,570,missing_plant_coordinates
7713,GPC5,GA,,,,SERC,,Electric Utility,CN,1,930,missing_plant_coordinates
7714,GPC6,GA,,,,SERC,,Electric Utility,CN,1,570,missing_plant_coordinates
7879,MEAG1,GA,,,,SERC,,Electric Utility,CN,1,170.9,missing_plant_coordinates
7880,MEAG2,GA,,,,SERC,,Electric Utility,CN,1,170.9,missing_plant_coordinates
7881,MEAG3,GA,,,,SERC,,Electric Utility,CN,1,170.9,missing_plant_coordinates
7228,NA 1 (IN),IN,NOT IN FILE,,,RFC,,Electric Utility,CN,16,3685,missing_plant_coordinates
7894,Unknown,KY,,,,SERC,,Electric Utility,CN,8,1468,missing_plant_coordinates
7875,MPC1,MS,,,,SERC,,Electric Utility,CN,1,360,missing_plant_coordinates
7539,NA 1 (NC),NC,NOT IN FILE,,,SERC,CPLE,Electric Utility,CN,12,3132.3,missing_plant_coordinates
7727,Future Gen Plant 1,NC,,,,SERC,CPLE,Electric Utility,CN,1,211.8,missing_plant_coordinates
7728,Future Gen Plant 2,NC,,,,SERC,CPLE,Electric Utility,CN,1,612,missing_plant_coordinates
55252,Eddy County Generating Station,NM,Eddy,,,WECC,,Electric Utility,CN,1,44,missing_plant_coordinates
7106,NA 1 (SC),SC,NOT IN FILE,,,SERC,,Electric Utility,CN,1,170,missing_plant_coordinates
7253,NA 5,SC,NOT IN FILE,,,SERC,,Electric Utility,CN,1,170,missing_plant_coordinates
7300,NA 8,SC,NOT IN FILE,,,SERC,,Electric Utility,CN,1,170,missing_plant_coordinates
7732,Turbine,TX,El Paso,,,WECC,EPE,Electric Utility,CN,1,121,missing_plant_coordinates
56281,SPI - Everett,WA,Snohomish,,,WECC,,Industrial Non-CHP,CN,1,28,missing_plant_coordinates
60203,Wheaton Solar,WI,Chippewa,,,MRO,,Electric Utility,CN,1,3.8,missing_plant_coordinates
