station_id,source_year,example_local_path
219820-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/21982099999.csv
252820-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/25282099999.csv
253780-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/25378099999.csv
701780-26529,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/70178026529.csv
702460-26512,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/70246026512.csv
702510-26528,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/70251026528.csv
702626-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/70262699999.csv
703080-25713,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/70308025713.csv
703330-25508,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/70333025508.csv
703333-25518,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/70333325518.csv
703430-25402,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/70343025402.csv
704540-25704,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/70454025704.csv
710070-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71007099999.csv
710080-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71008099999.csv
710210-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71021099999.csv
710220-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71022099999.csv
710260-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71026099999.csv
710267-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71026799999.csv
710354-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71035499999.csv
710360-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71036099999.csv
710367-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71036799999.csv
710370-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71037099999.csv
710380-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71038099999.csv
710390-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71039099999.csv
710400-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71040099999.csv
710415-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71041599999.csv
710435-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71043599999.csv
710450-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71045099999.csv
710455-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71045599999.csv
710480-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71048099999.csv
710510-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71051099999.csv
710513-27201,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71051327201.csv
710514-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71051499999.csv
710520-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71052099999.csv
710550-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71055099999.csv
710570-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71057099999.csv
710630-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71063099999.csv
710720-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71072099999.csv
710850-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71085099999.csv
711010-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71101099999.csv
711050-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71105099999.csv
711070-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71107099999.csv
711150-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71115099999.csv
711220-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71122099999.csv
711310-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71131099999.csv
711360-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71136099999.csv
711380-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71138099999.csv
711390-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71139099999.csv
711400-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71140099999.csv
711420-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71142099999.csv
711440-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71144099999.csv
711490-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71149099999.csv
711500-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71150099999.csv
711510-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71151099999.csv
711640-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71164099999.csv
711750-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71175099999.csv
711830-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71183099999.csv
711860-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71186099999.csv
711880-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71188099999.csv
