priority_run_id,plant_state,plant_count,distinct_station_count,total_first_operable_nameplate_mw,min_normalized_coverage_ratio,median_normalized_coverage_ratio,max_normalized_coverage_ratio,total_valid_hour_gap_to_threshold,gap_le_24h_count,gap_le_168h_count,gap_le_720h_count,gap_le_2160h_count,gap_gt_2160h_count,top_station_ids
normalized_active_window_blocker_priority_20260625T060119Z,CA,944,40,51457.300,0.336831,0.928960,0.943650,2022333,0,265,188,202,289,723898-99999:265;720329-99999:74;722955-99999:51;745046-99999:46;999999-04222:46;722800-99999:41;723810-99999:37;999999-53154:34
normalized_active_window_blocker_priority_20260625T060119Z,TX,578,58,119685.800,0.386205,0.889392,0.947263,1141488,0,50,102,302,124,999999-03047:66;999999-03072:62;722436-99999:39;722535-99999:31;999999-03054:29;997361-99999:25;722539-99999:22;723528-99999:19
normalized_active_window_blocker_priority_20260625T060119Z,NC,541,29,25136.000,0.664134,0.844974,0.949569,615138,49,68,39,331,54,746929-99999:91;999999-03758:68;724008-99999:49;746936-99999:40;723030-99999:38;746935-99999:33;746925-99999:31;723066-99999:30
normalized_active_window_blocker_priority_20260625T060119Z,NY,472,24,16665.500,0.317194,0.851564,0.939053,1324002,0,2,115,201,154,726166-99999:130;725287-99999:52;725194-99999:50;713000-99999:28;997280-99999:28;997743-99999:23;998435-99999:23;716200-99999:19
normalized_active_window_blocker_priority_20260625T060119Z,MN,461,22,9039.200,0.380947,0.821571,0.935117,788240,0,0,18,423,20,720972-99999:94;727517-99999:86;722144-99999:56;726596-99999:55;999999-04990:53;720582-99999:30;722032-99999:17;726560-94966:16
normalized_active_window_blocker_priority_20260625T060119Z,IL,354,25,42429.800,0.495139,0.844512,0.941153,634816,0,2,62,218,72,999999-54811:62;725348-99999:62;720141-04868:38;999999-54808:35;726414-99999:27;722082-99999:21;997338-99999:19;744672-99999:13
normalized_active_window_blocker_priority_20260625T060119Z,NJ,236,15,10782.800,0.642265,0.865462,0.947368,443630,47,32,19,25,113,997743-99999:72;724085-99999:47;724096-99999:32;997272-99999:15;998002-99999:14;724084-99999:12;740001-99999:11;997286-99999:8
normalized_active_window_blocker_priority_20260625T060119Z,FL,235,36,59439.200,0.175330,0.915468,0.948753,509722,0,54,81,30,70,722017-12876:32;722068-53860:25;747880-99999:23;722034-99999:20;747930-99999:15;722224-53862:11;747750-99999:9;722037-99999:8
normalized_active_window_blocker_priority_20260625T060119Z,ME,220,11,5464.300,0.509819,0.916051,0.936248,947685,0,28,0,94,98,999999-94644:79;997275-99999:51;727130-99999:28;998015-99999:17;720472-99999:17;716070-99999:14;994370-99999:8;726070-99999:3
normalized_active_window_blocker_priority_20260625T060119Z,IA,212,27,16797.700,0.266134,0.648711,0.935117,1302781,0,0,15,138,59,722097-99999:29;720293-99999:20;725466-99999:20;726444-99999:18;726593-99999:12;725499-99999:12;722331-54941:10;726596-99999:9
normalized_active_window_blocker_priority_20260625T060119Z,GA,178,24,27888.500,0.338889,0.880641,0.940137,343969,0,1,46,80,51,722175-99999:26;999999-63850:23;722134-99999:22;722176-99999:20;722270-99999:19;997301-99999:13;999999-63828:9;720259-63844:7
