priority_run_id,station_id,station_name,station_state,station_country,plant_count,distinct_plant_states,top_plant_states,min_distance_km,median_distance_km,max_distance_km,min_normalized_coverage_ratio,median_normalized_coverage_ratio,max_normalized_coverage_ratio,total_valid_hour_gap_to_threshold,gap_le_24h_count,gap_le_168h_count,gap_le_720h_count,gap_le_2160h_count,gap_gt_2160h_count
normalized_active_window_blocker_priority_20260625T060119Z,723898-99999,HANFORD MUNI,CA,US,265,1,CA:265,1.199,59.332,115.308,0.943650,0.943650,0.943650,21995,0,265,0,0,0
normalized_active_window_blocker_priority_20260625T060119Z,726166-99999,WILLIAM H MORSE STATE,VT,US,149,3,NY:130;MA:13;VT:6,3.586,53.963,125.682,0.844697,0.844697,0.844697,169860,0,0,0,149,0
normalized_active_window_blocker_priority_20260625T060119Z,725068-99999,TAUNTON MUNI,MA,US,129,1,MA:129,2.843,23.237,46.485,0.920895,0.920895,0.920895,48891,0,0,129,0,0
normalized_active_window_blocker_priority_20260625T060119Z,720972-99999,ST MARY HOSPITAL HELIPORT,MN,US,101,3,MN:94;IA:4;WI:3,1.447,36.283,82.442,0.917313,0.917313,0.917313,107363,0,0,0,101,0
normalized_active_window_blocker_priority_20260625T060119Z,997743-99999,ROBBINS REEF,NJ,US,95,2,NJ:72;NY:23,2.095,17.164,37.078,0.851564,0.851564,0.851564,364705,0,0,0,0,95
normalized_active_window_blocker_priority_20260625T060119Z,746929-99999,DUPLIN CO,NC,US,91,1,NC:91,3.379,30.423,54.558,0.844974,0.844974,0.844974,103467,0,0,0,91,0
normalized_active_window_blocker_priority_20260625T060119Z,727517-99999,GLENCOE MUNI,MN,US,86,1,MN:86,4.479,36.751,73.119,0.817535,0.817535,0.817535,123324,0,0,0,86,0
normalized_active_window_blocker_priority_20260625T060119Z,999999-94644,OLD TOWN 2 W,ME,US,79,1,ME:79,2.176,66.771,96.139,0.916051,0.916051,0.916051,139435,0,0,0,79,0
normalized_active_window_blocker_priority_20260625T060119Z,724846-99999,NORTH LAS VEGAS,NV,US,77,3,NV:61;AZ:12;CA:4,6.847,44.980,161.706,0.921202,0.921202,0.921202,28875,0,0,77,0,0
normalized_active_window_blocker_priority_20260625T060119Z,999999-03758,DURHAM 11 W,NC,US,76,2,NC:68;VA:8,7.664,45.387,83.565,0.946574,0.946574,0.946574,10716,0,76,0,0,0
normalized_active_window_blocker_priority_20260625T060119Z,720329-99999,CABLE,CA,US,74,1,CA:74,4.730,22.560,61.419,0.852781,0.852781,0.852781,140230,0,0,0,74,0
normalized_active_window_blocker_priority_20260625T060119Z,745944-93784,BALTIMORE DOWNTOWN,MD,US,70,1,MD:70,1.041,23.622,46.732,0.898505,0.898505,0.898505,203070,0,0,0,0,70
normalized_active_window_blocker_priority_20260625T060119Z,999999-03047,MONAHANS 6 ENE,TX,US,69,2,TX:66;NM:3,12.991,70.601,118.883,0.909642,0.909642,0.909642,138759,0,0,0,69,0
normalized_active_window_blocker_priority_20260625T060119Z,726596-99999,DODGE CENTER,MN,US,64,2,MN:55;IA:9,32.573,53.341,87.853,0.848023,0.848023,0.848023,70656,0,0,0,64,0
normalized_active_window_blocker_priority_20260625T060119Z,724085-99999,NORTHEAST PHILADELPH,PA,US,63,2,NJ:47;PA:16,2.667,24.157,44.647,0.947368,0.947368,0.947368,1449,63,0,0,0,0
normalized_active_window_blocker_priority_20260625T060119Z,999999-54811,SHABBONA 5 NNE,IL,US,62,1,IL:62,7.445,42.767,75.989,0.941153,0.941153,0.941153,27342,0,0,62,0,0
normalized_active_window_blocker_priority_20260625T060119Z,999999-03072,BRONTE 11 NNE,TX,US,62,1,TX:62,10.837,73.507,131.374,0.938389,0.938389,0.938389,31186,0,0,62,0,0
