eia_plant_code,plant_name,plant_state,station_id,station_name,station_country,station_state,selected_distance_km,selected_rank_order,coverage_ratio,governing_ecwt_f,risk_flags,qualifying_scenarios,qualifying_scenario_count
54249,Smith Falls Hydro Project,ID,717700-99999,CRESTON CAMPBELL SCIENTIFIC  BC,CA,,14.351,1,0.968222,-5.080,station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
6506,Moyie Springs,ID,717700-99999,CRESTON CAMPBELL SCIENTIFIC  BC,CA,,45.501,2,0.968222,-5.080,selected_rank_gt_1;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
10555,Brassua Hydroelectric Project,ME,713230-99999,BEAUCEVILLE  QUE,CA,,96.119,4,0.953806,-24.160,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
1492,Harris Hydro,ME,713230-99999,BEAUCEVILLE  QUE,CA,,108.790,7,0.953806,-24.160,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
50650,ReEnergy Stratton LLC,ME,716100-99999,SHERBROOKE,CA,,104.403,6,0.967671,-25.600,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
50999,Aziscohos Hydroelectric Project,ME,716100-99999,SHERBROOKE,CA,,77.357,5,0.967671,-25.600,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
56829,Kibby Wind Facility,ME,716100-99999,SHERBROOKE,CA,,91.150,3,0.967671,-25.600,distance_gt_75km;selected_rank_gt_1;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
66962,ME Novel Lighthouse - Carrabassett,ME,716100-99999,SHERBROOKE,CA,,112.095,6,0.967671,-25.600,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
1731,Harbor Beach,MI,712610-99999,GODERICH  ONT,CA,,74.950,8,0.957730,-12.499,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2203,Hungry Horse,MT,711540-99999,WATERTON PARK GATE,CA,,89.191,5,0.953504,-32.800,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
56499,Tiber Dam Hydroelectric Plant,MT,711160-99999,ONEFOUR CDA  ALTA,CA,,100.310,10,0.962967,-28.573,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
56606,Culbertson Generation Station,MT,715160-99999,CORONACH SPC  SASK,CA,,123.110,10,0.950149,-32.800,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
56833,OREG 1 Inc,MT,715160-99999,CORONACH SPC  SASK,CA,,122.500,10,0.950149,-32.800,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
56880,OREG 2 Inc,MT,715160-99999,CORONACH SPC  SASK,CA,,122.475,10,0.950149,-32.800,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
58523,Stoltze CoGen1,MT,711540-99999,WATERTON PARK GATE,CA,,88.507,5,0.953504,-32.800,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
60595,Sand Creek Wind Farm,MT,715160-99999,CORONACH SPC  SASK,CA,,126.656,7,0.950149,-32.800,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
6172,Libby,MT,717700-99999,CRESTON CAMPBELL SCIENTIFIC  BC,CA,,114.721,7,0.968222,-5.080,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
64505,Flathead Landfill to Gas Energy Facility,MT,711540-99999,WATERTON PARK GATE,CA,,98.976,5,0.953504,-32.800,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
6459,Big Fork,MT,711540-99999,WATERTON PARK GATE,CA,,120.851,5,0.953504,-32.800,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
6623,Fort Peck,MT,715160-99999,CORONACH SPC  SASK,CA,,134.159,8,0.950149,-32.800,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_distance_cap_150;fixed_coverage_only,2
55638,Walhalla,ND,711470-99999,CARMAN U OF M CS  MAN,CA,,66.578,8,0.969695,-31.000,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
56605,"Langdon Renewables, LLC",ND,711480-99999,PILOT MOUND (AUT),CA,,74.894,9,0.960552,-31.000,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
56912,Langdon Wind II LLC,ND,711480-99999,PILOT MOUND (AUT),CA,,74.909,9,0.960552,-31.000,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
57033,Langdon Wind Energy Center,ND,711480-99999,PILOT MOUND (AUT),CA,,74.787,9,0.960552,-31.000,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
59200,Border Winds Wind Farm,ND,711480-99999,PILOT MOUND (AUT),CA,,57.386,2,0.960552,-31.000,distance_gt_50km;selected_rank_gt_1;station_country_not_us;station_state_missing;coverage_below_0_97,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
57192,Spring Valley Wind Project,NV,724797-23176,MILFORD MUNI BRISCOE,US,UT,148.993,9,0.951374,-9.940,distance_gt_75km;selected_rank_gt_3;plant_station_state_mismatch;coverage_below_0_97;shared_station_gt_25_plants,us_fixed_gate_only;us_ca_distance_cap_150;fixed_coverage_only,3
68017,Cooper Canyon Renewable Energy,NV,724797-23176,MILFORD MUNI BRISCOE,US,UT,149.459,9,0.951374,-9.940,distance_gt_75km;selected_rank_gt_3;plant_station_state_mismatch;coverage_below_0_97;shared_station_gt_25_plants,us_fixed_gate_only;us_ca_distance_cap_150;fixed_coverage_only,3
10220,Sissonville Hydro,NY,717120-99999,ST ANICET 1  QUE,CA,,74.269,10,0.963162,-23.620,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2540,Allens Falls,NY,717120-99999,ST ANICET 1  QUE,CA,,68.165,7,0.963162,-23.620,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2547,Blake,NY,717120-99999,ST ANICET 1  QUE,CA,,77.368,6,0.963162,-23.620,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_distance_cap_150;fixed_coverage_only,2
2550,Chasm,NY,717120-99999,ST ANICET 1  QUE,CA,,40.775,3,0.963162,-23.620,selected_rank_gt_1;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2551,Colton,NY,717120-99999,ST ANICET 1  QUE,CA,,79.673,10,0.963162,-23.620,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_distance_cap_150;fixed_coverage_only,2
2561,East Norfolk,NY,717120-99999,ST ANICET 1  QUE,CA,,65.630,9,0.963162,-23.620,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2562,Five Falls,NY,717120-99999,ST ANICET 1  QUE,CA,,79.315,7,0.963162,-23.620,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_distance_cap_150;fixed_coverage_only,2
2571,Hannawa,NY,717120-99999,ST ANICET 1  QUE,CA,,77.610,10,0.963162,-23.620,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_distance_cap_150;fixed_coverage_only,2
2583,Macomb,NY,717120-99999,ST ANICET 1  QUE,CA,,26.713,1,0.963162,-23.620,station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2590,Norfolk,NY,717120-99999,ST ANICET 1  QUE,CA,,66.042,9,0.963162,-23.620,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2591,Norwood,NY,717120-99999,ST ANICET 1  QUE,CA,,70.317,8,0.963162,-23.620,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2597,Parishville,NY,717120-99999,ST ANICET 1  QUE,CA,,69.006,6,0.963162,-23.620,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2598,Piercefield,NY,717120-99999,ST ANICET 1  QUE,CA,,100.770,9,0.963162,-23.620,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_distance_cap_150;fixed_coverage_only,2
2600,Rainbow Falls Hydro,NY,717120-99999,ST ANICET 1  QUE,CA,,79.070,7,0.963162,-23.620,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_distance_cap_150;fixed_coverage_only,2
2601,Raymondville,NY,717120-99999,ST ANICET 1  QUE,CA,,63.180,8,0.963162,-23.620,distance_gt_50km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_practical;us_ca_distance_cap_150;fixed_coverage_only,3
2611,South Colton,NY,717120-99999,ST ANICET 1  QUE,CA,,82.139,9,0.963162,-23.620,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_distance_cap_150;fixed_coverage_only,2
2613,Stark,NY,717120-99999,ST ANICET 1  QUE,CA,,82.699,7,0.963162,-23.620,distance_gt_75km;selected_rank_gt_3;station_country_not_us;station_state_missing;coverage_below_0_97;shared_station_gt_25_plants,us_ca_distance_cap_150;fixed_coverage_only,2
